id,address,description,district,municipal,lon,lat
1,Postgasse-Wollzeile,,1,,16.3784300092855,48.2077500041011
2,Castellezgasse 27,,2,,16.381436241412,48.2232429427081
3,Klanggasse 5,,2,,16.3818019367293,48.2228241647135
4,Lessinggasse-Vereinsgasse,,2,,16.3847400092982,48.2235500041318
5,Taborstrasse-Lessinggasse,,2,,16.3830364234754,48.2238827132832
6,Tandelmarktgasse-Grosse Sperlgasse,,2,,16.3782152499793,48.2171535439401
8,Krummgasse,Tiere und Flo?tenspieler,3,,16.3863627721572,48.2005578093532
9,Rechte Wienzeile Ecke Pressgasse,,4,1,16.3619470092518,48.197415004083
10,Fleischmanngasse-Rienoesslgasse,,4,,16.365432009259,48.1937980040752
11,Grosse Neugasse-Schaeffergasse,,4,,16.363498009255,48.1937000040753
12,Grosse Neugasse-Rienößlgasse,,4,,16.3645200092571,48.1928700040735
13,Operngasse-Faulmanngasse,,4,,16.366170952529,48.19852932826
14,Rechte Wienzeile 25-27,,4,1,16.3627279234846,48.1975908759648
15,Rechte Wienzeile 71,,5,1,16.3550406419883,48.1944949459285
16,Rechte Wienzeile-Wehrgasse,,5,,16.3574910092427,48.1961590040813
17,Waaggasse-Margaretenstrasse,,4,,16.363630699962,48.1953290293771
18,Einsiedlerplatz 13,Spielende Kinder Fries,5,,16.3497556366669,48.1852357051579
19,Buergerspitalgasse-Matrosengasse,,6,,16.340981021631,48.1946895335195
20,Fillgradergasse 21,,6,1,16.3569327999778,48.1992149898086
21,Gumpendorfer Straße 102,,6,1,16.3469852137838,48.1911956766782
22,Haydngasse 4,,6,,16.3461583411854,48.1936300144836
23,Laimgrubengasse 4,,6,,16.3606335835103,48.1980471186104
24,Laimgrubengasse 8,,6,,16.3604309791012,48.1985667267473
25,Laimgrubengasse 9,,6,,16.3601078429983,48.1982387853783
26,Lindengasse 64,(SPÖ-Zentrale Neubau),7,,16.343502568343,48.1991292527497
27,Liniengasse-Stumpergasse,,6,1,16.3456602542017,48.1929174072424
28,Mollardgasse-Morizgasse,,6,,16.3446860092166,48.1896710040703
29,Schottenfeldgasse-Stollgasse,,7,1,16.3432800092136,48.1989400040892
31,Neustiftgasse,Karel Mustafa Zelt,7,1,16.3509746957828,48.2052902488948
32,Neustiftgasse,Weltbild Slightly Racist,7,1,16.3463783388925,48.2055996717555
33,Strozzigasse Türkensturm,,8,,16.3492145022589,48.2076745007345
34,Mariahilferstraße-Kaiserstraße,,6,,16.3418080092106,48.1962850040841
35,Neubaugasse 17-19,Ahornergasse 1 (hofseitig),7,,16.3489001703004,48.2003466119604
36,Albertgasse 52,,8,1,16.3442707818794,48.2146465242271
37,Breitenfelder Ecke Bennogasse,,8,,16.3426310092121,48.2141610041199
38,Breitenfelder Ecke FeldgasseGaberschule,,8,,16.3455810092181,48.2141550041194
39,Floriani- Ecke Fuhrmanngasse,,8,,16.3478575784159,48.2120196631631
40,Neudeggergasse,Eulen,8,1,16.3518544418735,48.2082214168411
